Node ID,Features
107562302583176005973,[]
117604474758066227896,['gender:2']
116438477730966655432,"['gender:1', 'last_name:eric']"
112565888022185219747,"['gender:1', 'job_title:director,', 'last_name:michael', 'place:Chicago,', 'university:Humboldt']"
100605864222557374608,"['gender:1', 'job_title:ceo', 'last_name:marcelo']"
104112700502285331526,"['gender:2', 'last_name:lee', 'place:Alexandria,', 'place:Naples,', 'place:Rome,', 'place:Washington,']"
116608690343216001321,"['gender:1', 'institution:Photographer', 'job_title:photographer', 'last_name:michael', 'place:Atlanta,', 'place:New', 'place:Norfolk,', 'place:Orlando,', 'university:Rutgers']"
111164095920889813531,"['gender:1', 'institution:Google', 'institution:eBay', 'job_title:&', 'job_title:@', 'job_title:google', 'job_title:local', 'last_name:jeff', 'place:Boston,', 'place:Champaign,', 'place:Chicago,', 'place:Los', 'place:San', 'university:Harvard', 'university:University']"
100471039405682805612,"['gender:1', 'job_title:/', 'job_title:designer', 'job_title:graphic', 'job_title:photographer', 'last_name:philip']"
101421435361785804366,[]
104558996796696834366,"['gender:1', 'institution:', 'last_name:dave', 'place:Pittsburgh,']"
116422773158129145495,"['gender:1', 'job_title:editor,', 'job_title:freelance', 'job_title:photo', 'job_title:photographer', 'job_title:photographer,', 'job_title:studio', 'place:hong']"
101119568117646041384,"['gender:2', 'job_title:manager', 'last_name:samantha']"
115431853773627038741,"['gender:1', 'institution:Miami-Dade', 'job_title:and', 'job_title:photographer', 'last_name:paul', 'place:Miami', 'place:Nashville']"
116742396272396002804,"['gender:1', 'job_title:and', 'job_title:photography', 'job_title:portrait', 'job_title:wedding']"
103806016066388243587,"['gender:1', 'institution:', 'job_title:-', 'job_title:photographer']"
106563076987268237912,"['gender:1', 'job_title:&', 'job_title:author', 'job_title:photographer', 'last_name:jason', 'place:Colorado', 'place:Hollywood,', 'place:Los', 'place:Miami,', 'place:Orlando,', 'place:Riverside,', 'university:University', 'university:University']"
113683173113414215373,"['gender:1', 'job_title:and', 'job_title:computer', 'job_title:multimedia', 'job_title:photographer,', 'job_title:problem', 'job_title:trainer,', 'last_name:kenneth', 'university:Stanford']"
103201238410770468762,"['gender:1', 'institution:Google', 'job_title:advocate', 'job_title:developer', 'last_name:justin', 'place:Boston,', 'university:Boston']"
103650951579527262798,"['gender:3', 'job_title:and', 'job_title:enthusiast', 'job_title:lover', 'job_title:picture', 'job_title:taker,']"
115424061231268192015,[]
102245160667846222465,"['gender:2', 'last_name:jennifer', 'place:Toronto']"
107958711860940415885,"['gender:1', 'job_title:photographer', 'last_name:vincent']"
108379995159495341811,[]
116706588382945742404,['gender:1']
105049612401300011029,[]
