Community,Node ID,Features
Community 1,109937871375351533728,"['gender:1', 'job_title:accounting', 'place:non-ascii_2163']"
Community 1,105303885389185662336,"['gender:1', 'last_name:john']"
Community 1,111097652703029998131,"['gender:2', 'last_name:emily', 'university:None']"
Community 1,102664673357233829000,"['gender:1', 'job_title:and', 'job_title:help', 'job_title:with', 'last_name:mike', 'place:Sydney']"
Community 1,104786643585334861389,"['gender:2', 'institution:', 'job_title:housewife', 'last_name:krystal', 'place:Sydney']"
Community 1,102584411590523178276,"['gender:1', 'institution:Charter', 'job_title:artist', 'last_name:michael']"
Community 1,113676724140312667272,"['gender:2', 'job_title:student']"
Community 1,113388389171178254246,['gender:2']
Community 1,109232992517968735824,['gender:1']
Community 1,117570236889242256660,"['gender:1', 'last_name:tony']"
Community 1,107625733670511152905,"['job_title:and', 'job_title:film', 'job_title:first', 'job_title:for', 'job_title:i', 'job_title:mainly', 'job_title:of', 'job_title:pr', 'job_title:radio', 'job_title:write', 'last_name:renata']"
Community 1,101365527746070426875,"['gender:2', 'last_name:cassie', 'place:Los']"
Community 1,114917794867576830866,['gender:1']
Community 1,105691729617188160535,"['gender:2', 'last_name:jenna']"
Community 1,101391281097346539710,"['gender:2', 'last_name:grace']"
Community 1,101161487788394947686,"['gender:2', 'last_name:sarah', 'place:London']"
Community 1,102516642867599611430,"['gender:2', 'job_title:de']"
Community 1,101556223293287836049,"['gender:2', 'job_title:photographer', 'last_name:cherie', 'place:San', 'place:San']"
Community 1,108631292347138271966,"['gender:1', 'job_title:i', 'job_title:if', 'job_title:share', 'job_title:you', 'last_name:oliver']"
Community 1,117628167393778000025,"['gender:2', 'job_title:porn', 'job_title:star']"
Community 1,117945919108078697628,"['job_title:girl', 'job_title:model', 'last_name:maria']"
Community 1,110954437358704206593,['last_name:hans']
Community 1,107718413955878443270,"['gender:2', 'job_title:&', 'job_title:and', 'job_title:artist', 'job_title:designer', 'job_title:fashion', 'job_title:stars', 'job_title:the', 'job_title:to', 'last_name:lindsay', 'place:Beverly', 'place:Hollywood,', 'place:Scottsdale,']"
Community 1,116816128091381983401,"['gender:1', 'job_title:and', 'job_title:english', 'job_title:listening', 'job_title:studying', 'job_title:to', 'last_name:christoph', 'place:Budapest', 'place:Dresden', 'university:TU']"
Community 1,100997036439271686527,['university:University']
Community 1,116503673657071757203,"['gender:1', 'last_name:jason']"
Community 1,103710176106425816152,"['gender:1', 'job_title:and', 'job_title:professional', 'last_name:marc', 'place:New']"
Community 1,116980795250220478086,['gender:2']
Community 1,106145469678511903598,['gender:2']
Community 1,108148031160868583699,[]
Community 1,115877100247789175365,"['gender:2', 'job_title:model']"
Community 1,103238460033023095344,"['gender:1', 'job_title:professional', 'last_name:mitch', 'place:Chicago,', 'place:Miami,', 'place:New', 'place:Tampa,', 'university:University']"
Community 1,110320489765054494412,['last_name:vicky']
Community 1,104210284591560318168,"['gender:1', 'institution:', 'last_name:michael', 'place:Paris']"
Community 1,115631210277871241840,['gender:2']
Community 1,104327566964479541867,['gender:2']
Community 1,113203410338220503994,['gender:1']
Community 1,105110056315907108114,['gender:2']
Community 1,116498936785168871237,"['gender:2', 'last_name:julie']"
Community 1,108387298144787902033,"['gender:2', 'last_name:nina']"
Community 1,104384132884063472627,['gender:2']
Community 1,100305949954154067156,"['gender:2', 'job_title:dj', 'job_title:fetish', 'job_title:glamour', 'job_title:model,', 'job_title:occasional', 'last_name:jade']"
Community 1,117629618264602489225,"['gender:1', 'last_name:toni']"
Community 1,103729992273575206534,"['gender:1', 'last_name:georg']"
Community 1,114735074397861789937,"['gender:2', 'last_name:amelia']"
Community 1,118057951880954404502,['last_name:sonia']
Community 1,117347227067614244707,['gender:1']
Community 1,110174857102676502827,[]
Community 1,110205698759928629897,"['gender:1', 'institution:Google', 'last_name:joan']"
Community 1,114888800688219423549,['gender:2']
Community 1,114863368147621987138,"['gender:1', 'place:Pristina']"
Community 1,113716058823470380359,"['gender:2', 'job_title:/', 'job_title:and', 'job_title:consultant', 'job_title:director', 'job_title:manager', 'job_title:marketing', 'job_title:media', 'job_title:performer', 'job_title:pr', 'job_title:producer', 'job_title:social', 'job_title:studio', 'last_name:kelly', 'place:Brooklyn,', 'place:Indianapolis,', 'place:Las', 'place:Los', 'place:Raleigh,', 'place:Tokyo,']"
Community 1,110904474423632855394,['last_name:becky']
Community 1,110874793512578864685,"['gender:2', 'job_title:artist', 'job_title:burlesque', 'last_name:lili']"
Community 1,100675937989132484697,[]
Community 1,118104982054097728858,['gender:1']
Community 1,106073502505833617615,"['gender:2', 'place:Atlanta,', 'place:Baltimore,', 'place:Chicago,', 'place:Dallas,', 'place:Denver,', 'place:Houston,', 'place:Kansas', 'place:Los', 'place:Memphis,', 'place:Miami,', 'place:Minneapolis,', 'place:New', 'place:Philadelphia,', 'place:Phoenix,', 'place:Salt', 'place:San', 'place:Tallahassee,']"
Community 1,114961441691634209230,['gender:2']
Community 1,107037649543687039893,['gender:2']
Community 1,111079829980705261476,"['gender:1', 'place:Moscow']"
Community 1,112373098634319462405,['gender:1']
Community 1,117829912572918352111,"['gender:1', 'last_name:m', 'place:Cairo']"
Community 1,115883748801594816833,"['gender:2', 'job_title:model,', 'job_title:performer,', 'last_name:athena']"
Community 1,111472410188317881475,"['gender:2', 'job_title:artist', 'job_title:photographer,', 'job_title:visual', 'last_name:jane', 'place:Atlanta,', 'place:Miami,']"
Community 1,117134630535811401163,[]
Community 1,103259967209132102202,"['gender:2', 'last_name:steffi']"
Community 1,115772754810716985882,"['gender:2', 'job_title:also', 'job_title:and', 'job_title:awesome.', 'job_title:i', 'job_title:make', 'job_title:me', 'job_title:model,', 'job_title:people', 'job_title:play', 'job_title:sometimes', 'job_title:tell', 'job_title:the', 'job_title:their', 'job_title:up', 'job_title:webcam', 'job_title:webmaster,', 'place:Baltimore,', 'place:Chicago,', 'place:Denver,']"
Community 1,105010776582224682287,['gender:1']
Community 1,108400482007488784709,"['gender:3', 'last_name:honey']"
Community 1,116424897893148688437,['gender:2']
Community 1,117766655462016947358,"['gender:1', 'job_title:non-ascii_904', 'last_name:mohamed']"
Community 1,108596856147471647943,"['gender:2', 'job_title:cam', 'job_title:girl', 'job_title:model,', 'last_name:paige']"
Community 1,110914730236012327405,"['gender:2', 'last_name:susanne']"
Community 1,118238843023744047489,"['gender:2', 'university:George']"
Community 1,112465845220843200645,['gender:1']
Community 1,106224809628162119128,"['gender:1', 'job_title:web']"
