Circle Name,Node ID,Features
MeTzBP1ZzWB,110992079327865803047,"['gender:1', 'job_title:3d', 'job_title:development', 'job_title:programming,', 'job_title:student,', 'job_title:web', 'last_name:colin', 'university:Mesa']"
MeTzBP1ZzWB,113359323653658147878,"['gender:1', 'last_name:steve']"
MeTzBP1ZzWB,115065219055340818021,"['gender:1', 'last_name:andrew']"
MeTzBP1ZzWB,114579585661410116649,"['gender:1', 'job_title:thinker', 'last_name:robert']"
MeTzBP1ZzWB,109601534018793668119,"['gender:1', 'job_title:ag', 'job_title:consultant,', 'job_title:senior', 'job_title:software', 'last_name:jochen']"
MeTzBP1ZzWB,111425389710625097093,"['gender:1', 'last_name:alex', 'place:Aurora,', 'place:Kankakee,', 'place:Naperville,', 'place:South']"
MeTzBP1ZzWB,109368654259427988906,"['gender:2', 'institution:CBS', 'job_title:&', 'job_title:and', 'job_title:based', 'job_title:for', 'job_title:life', 'job_title:my', 'job_title:on', 'job_title:photography,', 'job_title:series', 'job_title:television', 'place:Bali', 'place:Brentwood', 'place:Hong', 'place:Maui', 'place:Monterey', 'place:San', 'place:Santa', 'place:Scottsdale', 'place:Sydney', 'place:Taipei']"
MeTzBP1ZzWB,104364710985043058656,"['gender:2', 'job_title:-', 'job_title:a', 'job_title:am', 'job_title:and', 'job_title:center', 'job_title:companies.', 'job_title:for', 'job_title:i', 'job_title:in', 'job_title:lead', 'job_title:light', 'job_title:of', 'job_title:south', 'job_title:technology', 'job_title:the', 'job_title:to', 'job_title:when', 'job_title:with', 'job_title:work']"
MeTzBP1ZzWB,118133406527550382736,"['gender:1', 'last_name:jonathan']"
MeTzBP1ZzWB,107169757525950006290,"['gender:2', 'job_title:manager', 'job_title:media', 'job_title:social', 'place:Deventer', 'place:Groningen', 'place:Madrid', 'place:Noordwijk', 'place:Voorburg', 'university:Haagse']"
MeTzBP1ZzWB,117256325610241631146,"['gender:1', 'job_title:bureau', 'job_title:china', 'job_title:president', 'place:Shanghai,', 'university:Radboud']"
MeTzBP1ZzWB,102019412536996179860,"['institution:', 'job_title:a', 'job_title:as', 'job_title:english', 'job_title:language', 'job_title:of', 'job_title:teacher']"
MeTzBP1ZzWB,107956143651889042109,['institution:TNO']
MeTzBP1ZzWB,101872748485849744806,"['gender:1', 'last_name:andy']"
MeTzBP1ZzWB,117821058998625758091,"['gender:1', 'job_title:/', 'job_title:designer', 'job_title:entrepreneur', 'place:Eindhoven']"
